"","Fiscalyear","Ccode","Dcode","RegularADA","SpecialEdADA","ROCPADA","AdultEdADA","K12ADA","K12ADA_C"
"378",2003,19,75697,0,0,0,0,0,NA
"379",2003,20,10207,0,0,0,0,0,NA
"380",2003,20,65177,332.82,0,0,0,332.82,344.25
"381",2003,20,65185,1045.09,7.22,0,0,1052.31,1067.12
"382",2003,20,65193,1656.22,0,0,0,1656.22,1712.04
"383",2003,20,65201,782.44,19.38,0,130.14,801.82,830.2
"384",2003,20,65219,1016.32,15.53,0,0,1031.85,1044.51
"385",2003,20,65243,15622.97,455.65,0,1166.79,16078.62,16452.22
"386",2003,20,65276,88.08,0,0,0,88.08,88.08
"387",2003,20,73734,1196.86,22.22,0,114.63,1219.08,1268.62
"388",2003,20,75580,1207.3,16.55,0,0.32,1223.85,1248.49
"389",2003,20,75606,1127.79,16.38,0,26.76,1144.17,1159.51
"390",2003,21,10215,0,0,0,0,0,NA
"391",2003,21,40873,0,0,0,0,0,NA
"392",2003,21,65300,121.73,0,0,0,121.73,123.71
"393",2003,21,65318,1683.29,47.53,0,0,1730.82,1750.86
"394",2003,21,65334,938.48,2,0,0,940.48,952.84
"395",2003,21,65342,26.38,0,0,0,26.38,26.38
"396",2003,21,65359,274.69,0,0,0,274.69,274.69
"397",2003,21,65367,954.7,2.05,0,0,956.75,960.98
"398",2003,21,65375,14.41,0,0,0,14.41,14.41
"399",2003,21,65391,2141.4,22.54,0,0,2163.94,2184.75
"400",2003,21,65409,53.96,0,0,0,53.96,61.04
"401",2003,21,65417,7248.59,156.29,0,30.6,7404.88,7543.96
"402",2003,21,65425,1038.06,2.83,0,0,1040.89,1040.89
"403",2003,21,65433,373.98,2.84,0,0,376.82,380.73
"404",2003,21,65458,3232.07,80.99,0,0,3313.06,3357.57
"405",2003,21,65466,1878.83,69.17,0,51.72,1948,1998.88
"406",2003,21,65474,176.66,14.62,0,0,191.28,195.96
"407",2003,21,65482,3508.73,90.1,0,606.3,3598.83,3674.35
"408",2003,21,65516,17.3,0,0,0,17.3,17.3
"409",2003,21,73361,617.85,34.48,0,0,652.33,659.04
"410",2003,21,75002,1737.17,16.24,0,0,1753.41,1781.72
"411",2003,22,10223,0,0,0,0,0,NA
"412",2003,22,65532,2229.96,62.61,0,15.73,2292.57,2322.18
"413",2003,23,10231,0,0,0,0,0,NA
"414",2003,23,65540,549.5,0,0,18.16,549.5,565.67
"415",2003,23,65557,207.56,0,0,0,207.56,219.19
"416",2003,23,65565,1855.33,0,0,18.05,1855.33,1886.21
"417",2003,23,65573,64.93,0,0,0,64.93,64.93
"418",2003,23,65581,676.55,0,0,0,676.55,683.04
"419",2003,23,65599,166.89,0,0,0,166.89,167.52
"420",2003,23,65607,343.33,0,0,0,343.33,354.31
