"","Fiscalyear","Ccode","Dcode","state_rev_PP_16","CAExp_PP","CALocalAssist_PP","timetrend","formula_weight","pred_mod1","pred_mod2"
"247",2003,19,"64287",8603.05,2669,11880,0,0.35647,8489.38899070699,8024.56911777053
"248",2003,19,"64295",9166.47,2669,11880,0,0.36564,9216.68692011075,8656.07436030911
"249",2003,19,"64303",7730.74,2669,11880,0,0.24167,7577.72632488942,7745.48596022535
"250",2003,19,"64311",11200.02,2669,11880,0,0.01986,8576.9712277204,10407.5685834198
"251",2003,19,"64329",7973.18,2669,11880,0,0.07146,7299.53160364542,7995.01047414452
"252",2003,19,"64337",8556.95,2669,11880,0,0.08438,7766.86713885764,8517.36960099543
"253",2003,19,"64345",7394.15,2669,11880,0,0.06126,7230.92207584625,7512.399495466
"254",2003,19,"64352",10023.19,2669,11880,0,0.36529,9959.54382356858,9886.47065277781
"255",2003,19,"64378",7694.9,2669,11880,0,0.12456,7464.7148218938,7775.13614163606
"256",2003,19,"64394",8264.96,2669,11880,0,0.08192,7797.01711744727,8669.21884920779
"257",2003,19,"64436",7692.91,2669,11880,0,0.23572,8045.04568367327,7353.02706971791
"258",2003,19,"64444",8552.14,2669,11880,0,0.0861,9179.82958472186,9422.48636902238
"259",2003,19,"64451",7606.76,2669,11880,0,0.24811,6974.17890126455,7409.10668026161
"260",2003,19,"64469",7619.26,2669,11880,0,0.264,7374.04008427711,7654.29554291124
"261",2003,19,"64477",7880.73,2669,11880,0,0.36816,7387.10401521405,7998.70644643908
"262",2003,19,"64485",7130.66,2669,11880,0,0.11637,7582.58876280806,6910.83509568068
"263",2003,19,"64501",7448.92,2669,11880,0,0.37824,7478.86739562726,7497.86338195881
"264",2003,19,"64519",9297.99,2669,11880,0,0.36326,8624.86666362425,8491.68728610289
"265",2003,19,"64527",7848.57,2669,11880,0,0.31727,7530.64317798882,7745.88387777549
"266",2003,19,"64535",8087.41,2669,11880,0,0.03316,7453.34289632119,8141.71013955556
"267",2003,19,"64550",7525.07,2669,11880,0,0.34653,7344.92444891058,7433.97944499105
"268",2003,19,"64568",7848.71,2669,11880,0,0.11763,7572.79831035968,7850.82244949859
"269",2003,19,"64576",7436.29,2669,11880,0,0.06334,6865.15396386813,7411.29674078086
"270",2003,19,"64584",246544.26,2669,11880,0,0.1625,103046.25408706,360071.566806669
"271",2003,19,"64592",8069.5,2669,11880,0,0.35591,8038.33963623959,7938.28528274056
"272",2003,19,"64600",7812.01,2669,11880,0,0.00722,7007.82436974193,7933.28073447798
"273",2003,19,"64626",8436.17,2669,11880,0,0.09882,7938.27420762419,8353.0525892568
"274",2003,19,"64634",8331.58,2669,11880,0,0.38034,8497.12897488004,8243.10503305967
"275",2003,19,"64642",7727.76,2669,11880,0,0.3375,7201.61935812371,7320.09017455411
"276",2003,19,"64659",7527.08,2669,11880,0,0.0139,7021.32524088885,7586.9781321186
"277",2003,19,"64667",7814.51,2669,11880,0,0.30656,6953.76902379973,7607.98114151186
"278",2003,19,"64683",7719.48,2669,11880,0,0.02248,7156.52777897862,7665.11835432293
"279",2003,19,"64691",8409.49,2669,11880,0,0.33652,8693.52148780576,8417.35380707425
"280",2003,19,"64709",9580.57,2669,11880,0,0.40274,10813.8101535762,8813.55971789281
"281",2003,19,"64717",7086.12,2669,11880,0,0.23614,6819.17819952381,7174.17553345164
"282",2003,19,"64725",8179.56,2669,11880,0,0.21514,7935.53940699621,8184.14880719373
"283",2003,19,"64733",9591.71,2669,11880,0,0.31727,10372.8441779888,9514.93857022375
"284",2003,19,"64758",7109.28,2669,11880,0,0.42346,7337.47926887008,7022.95495106502
"285",2003,19,"64766",7362.38,2669,11880,0,0.07684,6877.07854477871,7518.55944009358
"286",2003,19,"64774",7612.51,2669,11880,0,0.38601,7779.17393886247,7638.52310893126
"287",2003,19,"64790",7942.43,2669,11880,0,0.15928,7392.91779887278,7800.5640952002
